model,precision,recall,mAP@0.5,timestamp
yolov2,,,,2025-10-30_15:43:49
yolov2,0.66,0.53,34.6028,2025-10-30_15:45:03
yolov2,0.66,0.53,34.6028,2025-11-03_17:41:53
yolov2,0.66,0.53,34.6028,2025-11-03_17:44:43
yolov2,0.66,0.53,34.6028,2025-11-03_20:19:12
yolov2,0.66,0.53,34.6028,2025-11-05_14:59:51
yolov2,0.66,0.53,34.6028,2025-11-05_16:20:41
