model,precision,recall,mAP@0.5,timestamp
yolov4,0.74,0.7,51.089600000000004,2025-10-29_14:58:08
yolov4,0.74,0.7,51.089600000000004,2025-10-29_15:10:16
yolov4,0.74,0.69,51.068599999999996,2025-11-03_17:47:45
yolov4,0.74,0.7,51.089600000000004,2025-11-03_18:01:39
yolov4,0.74,0.7,51.089600000000004,2025-11-03_18:06:23
yolov4,0.74,0.7,51.089600000000004,2025-11-03_22:38:50
yolov4,0.74,0.7,51.089600000000004,2025-11-05_15:07:41
yolov4,0.74,0.7,51.089600000000004,2025-11-05_15:55:39
