               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09206,            0.023869,            0.018378,             0.72822,             0.24006,             0.21339,            0.063662,            0.070257,            0.011743,           0.0091625,            0.070179,           0.0033135,           0.0033135
                   1,            0.068072,            0.021849,           0.0083803,             0.73477,             0.31498,             0.24088,            0.078521,             0.06603,           0.0098541,           0.0076916,            0.040162,           0.0066304,           0.0066304
                   2,            0.063219,             0.02074,           0.0066786,             0.36691,             0.40899,             0.31535,             0.11177,            0.061227,            0.010035,           0.0068549,            0.010129,           0.0099308,           0.0099308
                   3,            0.059896,             0.02101,           0.0057168,             0.41004,             0.40135,             0.32335,             0.12576,            0.057657,            0.011068,           0.0078651,           0.0099258,           0.0099258,           0.0099258
                   4,            0.055689,             0.02023,           0.0051741,              0.4243,             0.36999,              0.3353,             0.12368,            0.056624,             0.01029,           0.0072227,           0.0099258,           0.0099258,           0.0099258
                   5,            0.054255,            0.020414,           0.0047517,              0.4519,             0.45216,              0.4078,             0.17127,            0.052126,           0.0098184,           0.0048518,            0.009901,            0.009901,            0.009901
                   6,            0.052513,            0.019936,           0.0048692,             0.53476,             0.43459,             0.41797,             0.18186,            0.050507,            0.010173,           0.0040404,           0.0098763,           0.0098763,           0.0098763
                   7,            0.051564,            0.019464,           0.0039944,             0.48342,             0.41815,              0.4004,             0.15233,            0.053956,            0.010202,           0.0053125,           0.0098515,           0.0098515,           0.0098515
